town,county,lat,lon
barnet,barnet,51.64,-0.2
barnsley,barnsley,53.54,-1.48
bexley,bexley,51.45,0.1
birmingham,birmingham,52.48,-1.86
bolton,bolton,53.56,-2.43
bournemouth,bournemouth,50.71,-1.88
bradford,bradford,53.78,-1.75
bromley,bromley,51.40,0.01
bury,bury,53.58,-2.3
clackmannan,clackmannan,56.09,-3.75
conwy,conwy,53.06,-3.78
conwy,conwy,53.27,-3.84
coventry,coventry,52.39,-1.51
croydon,croydon,51.36,-0.09
croydon,croydon,51.35,-0.09
darlington,darlington,54.52,-1.56
doncaster,doncaster,53.51,-1.14
dudley,dudley,52.50,-2.1
durham,durham,54.77,-1.58
ealing,ealing,51.50,-0.31
enfield,enfield,51.64,-0.07
falkirk,falkirk,56.00,-3.79
gateshead,gateshead,54.93,-1.62
greenwich,greenwich,51.47,00.00
hackney,hackney,51.53,-0.06
harrow,harrow,51.57,-0.35
hartlepool,hartlepool,54.68,-1.22
hillingdon,hillingdon,51.52,-0.44
hounslow,hounslow,51.46,-0.36
islington,islington,51.53,-0.11
knowsley,knowsley,53.44,-2.85
lambeth,lambeth,51.48,-0.12
leeds,leeds,53.80,-1.54
lewisham,lewisham,51.45,-0.01
liverpool,liverpool,53.41,-2.94
luton,luton,51.87,-0.41
manchester,manchester,53.47,-2.25
merton,merton,51.40,-0.2
middlesbrough,middlesbrough,54.55,-1.21
oldham,oldham,53.53,-2.12
poole,poole,50.71,-1.98
redbridge,redbridge,51.57,0.04
rochdale,rochdale,53.61,-2.16
rotherham,rotherham,53.42,-1.35
salford,salford,53.47,-2.3
sandwell,sandwell,52.49,-1.97
sefton,sefton,53.50,-2.98
sheffield,sheffield,53.37,-1.47
solihull,solihull,52.40,-1.78
stirling,stirling,56.11,-3.94
stockport,stockport,53.40,-2.16
stockton-on-tees,stockton-on-tees,54.57,-1.33
sunderland,sunderland,54.90,-1.39
sutton,sutton,51.36,-0.2
swindon,swindon,51.56,-1.77
wakefield,wakefield,53.67,-1.5
walsall,walsall,52.58,-1.98
wandsworth,wandsworth,51.46,-0.2
wigan,wigan,53.54,-2.63
wolverhampton,wolverhampton,52.58,-2.13
york,york,53.95,-1.1
aaron's hill,surrey,51.17,-0.64
abbas combe,somerset,50.99,-2.42
abberley,hereford and worcester,52.30,-2.38
abberton,hereford and worcester,52.17,-2.01
abberton,essex,51.83,0.9
abberton reservoir,essex,51.82,0.86
abbess end,essex,51.77,0.27
abbess roding,essex,51.77,0.27
abbey,devon,50.88,-3.22
abbeydale,gloucestershire,51.84,-2.2
abbeydale,sheffield,53.33,-1.52
abbeydale park,sheffield,53.31,-1.53
abbey dore,hereford and worcester,51.96,-2.9
abbey field,essex,51.87,0.89
abbey gate,devon,50.76,-3.0
abbey gate,kent,51.29,0.5
abbey green,staffordshire,53.11,-2.04
abbey green,shropshire,52.89,-2.74
abbey hey,manchester,53.46,-2.16
abbey mead,surrey,51.39,-0.5
abbeystead,lancashire,53.98,-2.67
abbeytown,cumbria,54.83,-3.29
abbey village,lancashire,53.69,-2.54
abbey wood,greenwich,51.48,0.1
abbots bickington,devon,50.89,-4.3
abbots bromley,staffordshire,52.81,-1.88
abbotsbury,dorset,50.66,-2.6
abbotsford,west sussex,50.96,-0.14
abbotsham,devon,51.01,-4.25
abbotskerswell,devon,50.50,-3.62
abbots langley,hertfordshire,51.69,-0.42
abbotsleigh,devon,50.31,-3.68
abbotsley,cambridgeshire,52.18,-0.21
abbot's meads,cheshire,53.19,-2.91
abbots morton,hereford and worcester,52.19,-1.97
abbots ripton,cambridgeshire,52.37,-0.19
abbot's salford,warwickshire,52.14,-1.91
abbotstone,hampshire,51.10,-1.2
abbotswood,hampshire,51.00,-1.48
abbotswood,surrey,51.24,-0.56
abbots worthy,hampshire,51.08,-1.3
abbotts ann,hampshire,51.18,-1.54
abcott,shropshire,52.39,-2.89
abdon,shropshire,52.47,-2.63
abdy,rotherham,53.47,-1.35
aberford,leeds,53.82,-1.34
aberfoyle,stirling,56.17,-4.38
abergele,conwy,53.27,-3.59
abhainn gaoithe,stirling,56.21,-4.6
abingdon,oxfordshire,51.66,-1.29
abinger common,surrey,51.19,-0.41
abinger hammer,surrey,51.21,-0.44
abington,northamptonshire,52.24,-0.87
abington pigotts,cambridgeshire,52.07,-0.1
abington vale,northamptonshire,52.24,-0.85
abingworth,west sussex,50.93,-0.43
ab kettleby,leicestershire,52.80,-0.93
ab lench,hereford and worcester,52.15,-1.98
ablington,wiltshire,51.21,-1.78
ablington,gloucestershire,51.76,-1.85
abney,derbyshire,53.30,-1.71
abraham heights,lancashire,54.04,-2.82
abram,wigan,53.50,-2.6
abridge,essex,51.64,0.1
abshot,hampshire,50.84,-1.27
abthorpe,northamptonshire,52.10,-1.06
aby,lincolnshire,53.28,0.11
acaster malbis,york,53.89,-1.11
acaster selby,north yorkshire,53.86,-1.13
accrington,lancashire,53.74,-2.38
achray water,stirling,56.22,-4.36
achurch,northamptonshire,52.42,-0.5
ackenthwaite,cumbria,54.22,-2.76
acklam,middlesbrough,54.54,-1.25
acklam,north yorkshire,54.03,-0.81
ackleton,shropshire,52.57,-2.34
acklington,northumberland,55.30,-1.65
ackton,wakefield,53.68,-1.38
ackworth moor top,wakefield,53.63,-1.35
acle,norfolk,52.63,1.54
acock's green,birmingham,52.44,-1.83
acol,kent,51.35,1.3
acomb,northumberland,54.98,-2.11
acomb,york,53.94,-1.13
acre,oldham,53.55,-2.1
acres nook,staffordshire,53.07,-2.24
acton,dorset,50.60,-2.02
acton,shropshire,52.44,-3.01
acton,hereford and worcester,52.30,-2.23
acton,suffolk,52.06,0.75
acton,ealing,51.50,-0.27
acton,staffordshire,52.96,-2.26
acton,cheshire,53.07,-2.55
acton beauchamp,hereford and worcester,52.14,-2.48
acton bridge,cheshire,53.27,-2.61
acton burnell,shropshire,52.60,-2.69
acton green,hereford and worcester,52.14,-2.45
acton green,ealing,51.49,-0.27
acton pigott,shropshire,52.61,-2.68
acton place,suffolk,52.07,0.74
acton reynald,shropshire,52.80,-2.69
acton round,shropshire,52.55,-2.54
acton scott,shropshire,52.49,-2.81
acton trussell,staffordshire,52.75,-2.1
adam's green,dorset,50.86,-2.65
adbaston,staffordshire,52.84,-2.35
adber,dorset,50.97,-2.58
adbolton,nottinghamshire,52.93,-1.1
adderbury,oxfordshire,52.01,-1.31
adderley,shropshire,52.94,-2.5
